Fold,Policy key,Train end,Test start,Test end,Test excess %,Test CAGR %,Test max drawdown %,Test Sharpe,Test turnover
1,current_tqqq,2015-09-08,2015-09-09,2016-09-08,-11.081052687540161,3.511895624712369,-43.453909550069405,0.25975276671799646,4.0
1,entry_target_60,2015-09-08,2015-09-09,2016-09-08,-10.777288303770138,3.8200291406048414,-42.91600782663969,0.264720769214157,3.9219318147526003
1,entry_target_50,2015-09-08,2015-09-09,2016-09-08,-8.35727840821827,6.274868953335133,-38.286145723897434,0.3120117271108272,3.2682765122938338
1,entry_target_40,2015-09-08,2015-09-09,2016-09-08,-6.168939843311483,8.494736557351734,-33.43320930066783,0.37240409383738593,2.614621209835067
1,entry_target_30,2015-09-08,2015-09-09,2016-09-08,-4.226974493464408,10.464707319247468,-28.474693775111003,0.45184727723151485,1.9609659073763002
1,entry_high_vol_half,2015-09-08,2015-09-09,2016-09-08,-4.335780462279648,10.35433160115522,-28.769272418550308,0.44641851734382626,2.0
1,entry_leverage_ladder,2015-09-08,2015-09-09,2016-09-08,-6.8991707820982295,7.7539811444781614,-30.736384552792206,0.35598805024857516,4.0
1,entry_half,2015-09-08,2015-09-09,2016-09-08,-4.335780462279648,10.35433160115522,-28.769272418550308,0.44641851734382626,2.0
2,current_tqqq,2016-09-08,2016-09-09,2017-09-08,-1.9984014443252818e-13,18.085958520402777,-3.9526343314802315,1.746288815297578,0.0
2,entry_target_60,2016-09-08,2016-09-09,2017-09-08,-1.9984014443252818e-13,18.085958520402777,-3.952634331480176,1.7462888152975904,0.0
2,entry_target_50,2016-09-08,2016-09-09,2017-09-08,-1.9984014443252818e-13,18.085958520402777,-3.952634331480176,1.7462888152975904,0.0
2,entry_target_40,2016-09-08,2016-09-09,2017-09-08,-1.9984014443252818e-13,18.085958520402777,-3.952634331480176,1.7462888152975904,0.0
2,entry_target_30,2016-09-08,2016-09-09,2017-09-08,-1.9984014443252818e-13,18.085958520402777,-3.952634331480176,1.7462888152975904,0.0
2,entry_high_vol_half,2016-09-08,2016-09-09,2017-09-08,-1.9984014443252818e-13,18.085958520402777,-3.952634331480176,1.7462888152975904,0.0
2,entry_leverage_ladder,2016-09-08,2016-09-09,2017-09-08,-1.9984014443252818e-13,18.085958520402777,-3.952634331480176,1.7462888152975904,0.0
2,entry_half,2016-09-08,2016-09-09,2017-09-08,-1.9984014443252818e-13,18.085958520402777,-3.952634331480176,1.7462888152975904,0.0
3,current_tqqq,2017-09-08,2017-09-11,2018-09-08,-3.774758283725532e-13,17.884392332728382,-10.088848332728684,1.4610628055282386,0.0
3,entry_target_60,2017-09-08,2017-09-11,2018-09-08,-4.884981308350689e-13,17.88439233272827,-10.088848332728716,1.4610628055282362,0.0
3,entry_target_50,2017-09-08,2017-09-11,2018-09-08,-4.884981308350689e-13,17.88439233272827,-10.088848332728716,1.4610628055282362,0.0
3,entry_target_40,2017-09-08,2017-09-11,2018-09-08,-4.884981308350689e-13,17.88439233272827,-10.088848332728716,1.4610628055282362,0.0
3,entry_target_30,2017-09-08,2017-09-11,2018-09-08,-4.884981308350689e-13,17.88439233272827,-10.088848332728716,1.4610628055282362,0.0
3,entry_high_vol_half,2017-09-08,2017-09-11,2018-09-08,-4.884981308350689e-13,17.88439233272827,-10.088848332728716,1.4610628055282362,0.0
3,entry_leverage_ladder,2017-09-08,2017-09-11,2018-09-08,-4.884981308350689e-13,17.88439233272827,-10.088848332728716,1.4610628055282362,0.0
3,entry_half,2017-09-08,2017-09-11,2018-09-08,-4.884981308350689e-13,17.88439233272827,-10.088848332728716,1.4610628055282362,0.0
4,current_tqqq,2018-09-07,2018-09-10,2019-09-08,-3.9378380585884054,1.6758001629143537,-48.73970832344807,0.2824330085506515,4.0
4,entry_target_60,2018-09-07,2018-09-10,2019-09-08,-0.6864247466119133,4.960522198134454,-37.67497210300452,0.31732427895309906,2.338170089209424
4,entry_target_50,2018-09-07,2018-09-10,2019-09-08,-0.25062682816381354,5.400876349279371,-34.85785366703852,0.329236882511346,1.9484750743411867
4,entry_target_40,2018-09-07,2018-09-10,2019-09-08,0.05742701578599352,5.712163791874558,-31.954855386811452,0.3432261960478148,1.5587800594729497
4,entry_target_30,2018-09-07,2018-09-10,2019-09-08,0.23678915991531824,5.893413590766694,-28.965521484996813,0.35967279246706524,1.1690850446047119
4,entry_high_vol_half,2018-09-07,2018-09-10,2019-09-08,-0.30094461744774037,5.35003139662571,-35.23524469894507,0.3275509315514211,2.0
