Policy,Key,Exit mode,Rebalance days,Rotation-equivalent turnover,Fills,Return %,VOO return %,Excess vs VOO %,CAGR %,Volatility %,Sharpe,Sortino,Max drawdown %,Calmar,Recovery days,Risk-on time %,Average TQQQ weight %,Turnover,Sessions
Current ATH-activated 10% trailing exit,exit_current,ath_trailing_close,18,18.0,18,2462.843408559319,813.8052368025573,1649.0381717567616,22.567278924116764,44.71377740382427,0.6819859719385589,0.751642115030524,-75.4768426710658,0.298996064560713,868.0,33.209047974148646,33.209047974148646,36.0,4023
Trend-failure exit: SPX closes below its SMA,exit_trend_failure,trend_failure,49,49.0,49,5294.858424662475,813.8052368025573,4481.053187859918,28.404908623150614,42.017786601455214,0.8066842784004705,0.995674249597604,-59.357636787355304,0.478538401468193,586.0,60.10439970171514,60.10439970171514,98.0,4023
Immediate 10% TQQQ close trail,exit_immediate_trail,immediate_trailing_close,46,46.0,46,1818.5019582843001,813.8052368025573,1004.6967214817428,20.368600289621885,25.222924963573146,0.8618165127009237,0.9646598996855706,-48.63167245954474,0.41883404907708915,318.0,14.069102659706687,14.069102659706687,92.0,4023
