Date,qqq_open,tqqq_open,voo_open,spx_open,qqq_high,tqqq_high,voo_high,spx_high,qqq_low,tqqq_low,voo_low,spx_low,qqq_close,tqqq_close,voo_close,spx_close
2010-09-09,40.654364215908515,0.2319445831316798,77.20189676899057,1838.0899658203125,40.689216590407796,0.2323162415712961,77.20189676899057,1855.27001953125,40.35812568007536,0.22684581291080372,76.17755894727226,1838.0899658203125,40.4539680480957,0.22778591513633728,76.3131332397461,1845.0899658203125
2010-09-10,40.4975199005028,0.22944464405958379,76.58428915198614,1845.0899658203125,40.663063644951926,0.23147501908374166,76.7198634574312,1856.239990234375,40.297123791841955,0.22570706789054576,76.29807928332585,1844.699951171875,40.602073669433594,0.23023739457130432,76.65960693359375,1854.0999755859375
2010-09-13,40.915740401622664,0.2362525054598349,77.54833185314207,1854.18994140625,41.27296884388142,0.2421193381481867,77.68390609093889,1878.02001953125,40.89831421862168,0.23602913360659764,77.20186563352256,1854.18994140625,41.16841506958008,0.2403864711523056,77.62364959716797,1875.4100341796875
2010-09-14,41.116148577723564,0.23937124682780994,77.45799362384724,1875.280029296875,41.56050806529388,0.24714390623698418,77.94004011709457,1884.4000244140625,41.02030952867057,0.2379853217172855,77.11152719618431,1864.9100341796875,41.34268569946289,0.24343106150627136,77.60863494873047,1874.0699462890625
2010-09-15,41.23814014774011,0.24150052149398918,77.2922820744096,1873.72998046875,41.6476440173391,0.24877793951307597,77.86470176087585,1883.030029296875,41.116156806548844,0.23954428268037084,77.12657952176698,1863.3299560546875,41.60408020019531,0.24756504595279694,77.80445098876953,1880.739990234375
2010-09-16,41.52564002045773,0.24741583628460628,77.59356817814714,1880.4200439453125,41.80445227762244,0.2514756519392333,77.81952729296708,1881.4100341796875,41.42108625494703,0.24479231451883107,77.3525478039827,1870.4200439453125,41.76959991455078,0.251055508852005,77.77433776855469,1880.3699951171875
2010-09-17,42.04208447119594,0.2561789675392569,78.2413187702238,1882.77001953125,42.04208447119594,0.2561789675392569,78.2413187702238,1891.760009765625,41.70148647594877,0.24989200578747678,77.59357537711459,1876.5699462890625,41.91108703613281,0.253728449344635,77.84966278076172,1881.9300537109375
2010-09-20,42.06828689557791,0.2565753153835558,78.13583449064494,1881.969970703125,42.732019283444345,0.2683089515073665,79.11498260498047,1914.050048828125,42.01588924965931,0.25568369773548383,77.92494246512695,1881.969970703125,42.64468765258789,0.26694682240486145,79.11498260498047,1910.5999755859375
2010-09-21,42.67089743385065,0.26717018345247895,79.0999539377088,1910.489990234375,42.94162755792468,0.27229365609922423,79.41629787566536,1920.4100341796875,42.452564969151446,0.2632833720257019,78.54259535068549,1900.3900146484375,42.635963439941406,0.2661055624485016,78.8740005493164,1905.739990234375
2010-09-22,42.46129378597006,0.2631352377624869,78.75344999621335,1905.239990234375,42.81062703727217,0.2700419492600401,79.11498329050308,1913.4200439453125,42.286627160319,0.26041188475597443,78.30153768813376,1892.02001953125,42.52242660522461,0.2648433744907379,78.45217895507812,1896.77001953125
2010-09-23,42.24293429852824,0.2594222529763451,77.81951224520164,1896.77001953125,42.93286519593003,0.2720465443555985,78.58776274355262,1900.72998046875,42.19926850293665,0.2586295024580812,77.66887669536902,1877.3599853515625,42.50493240356445,0.2640504837036133,77.80445098876953,1880.969970703125
2010-09-24,42.98527740233197,0.2734818850366757,78.7116717315226,1881.4100341796875,43.39573998612891,0.2807108321682426,79.43865971521224,1921.25,42.9241446062029,0.27217009604817605,78.65108795515172,1881.4100341796875,43.36954116821289,0.27900269627571106,79.39321899414062,1920.8399658203125
2010-09-27,43.34337066372301,0.2802897945176458,79.4992365345212,1920.510009765625,43.44816933533283,0.28174985630230226,79.4992365345212,1922.97998046875,43.0988359879805,0.2750417874191833,79.01457214355469,1909.5899658203125,43.13376998901367,0.2758089005947113,79.01457214355469,1909.97998046875
2010-09-28,43.238545207859815,0.2784085798378767,78.9994321831888,1910.18994140625,43.2647473601674,0.2784085798378767,79.52952575683594,1923.1199951171875,42.43508360883591,0.26259042656199877,78.31787917593773,1893.4200439453125,43.11627960205078,0.27650177478790283,79.52952575683594,1919.5899658203125
2010-09-29,43.055149066565235,0.2743241702503407,79.19631198736968,1919.3199462890625,43.256014476899416,0.27806174757959123,79.45378431074607,1921.1800537109375,42.88921764015563,0.2711797395536988,78.9236908346267,1907.1800537109375,43.046417236328125,0.2742747366428375,79.15087127685547,1914.8399658203125
2010-09-30,43.26476375425229,0.2784333519134423,79.66585948229347,1915.260009765625,43.5267620561904,0.28333438835961006,80.02935645086576,1935.219970703125,42.57483233834025,0.2651892843487701,78.72683383173181,1900.8699951171875,42.85429763793945,0.2705608606338501,79.02974700927734,1908.949951171875
2010-10-01,43.212365094777226,0.27689824116374534,79.574951167545,1911.0999755859375,43.25603092554338,0.27801229613448447,79.63553492933181,1924.010009765625,42.60103346958305,0.26573398032350276,78.87825523975316,1905.719970703125,42.80189895629883,0.269719660282135,79.30233001708984,1917.4200439453125
2010-10-04,42.67962164112664,0.26702096083775995,79.71127464660864,1916.5999755859375,42.83682125414274,0.2697690151773957,79.71127464660864,1920.3900146484375,42.09449233939103,0.2561542396415635,78.3784605594674,1893.18994140625,42.33902359008789,0.26036232709884644,78.63593292236328,1902.1500244140625
2010-10-05,42.81934267156377,0.2695960598059375,79.52953627707834,1902.4599609375,43.456872782257975,0.28108159527635435,80.42312683199326,1945.1600341796875,42.79314385364775,0.26915025089878536,79.3780826010266,1902.4599609375,43.36954116821289,0.2797451317310333,80.362548828125,1941.8199462890625
2010-10-06,43.31714959451252,0.27858153398422175,80.36254504910671,1941.3199462890625,43.41321638968737,0.2803391031120945,80.48370682873303,1944.489990234375,42.71455333135425,0.26712070564556495,79.98390509919541,1931.9200439453125,42.9940185546875,0.27261584997177124,80.22623443603516,1941.5
2010-10-07,43.23855387022403,0.27724508700079387,80.65029403217474,1941.739990234375,43.26475602778092,0.2774427930008095,80.65029403217474,1948.0,42.7931571696197,0.2686796494798435,79.75670368878993,1927.1700439453125,43.151222229003906,0.27528882026672363,80.18077850341797,1938.31005859375
2010-10-08,43.168681619604044,0.2757841652769343,80.28678325073997,1938.0699462890625,43.55294543737048,0.2828391757770051,80.83202550481658,1954.530029296875,42.863017597686195,0.2701654487500008,80.0141679012867,1934.18994140625,43.44814682006836,0.28083446621894836,80.78659057617188,1950.1800537109375
