Status,Entry signal date,Entry fill date,Exit signal date,Exit fill date,Entry fill,Exit fill,TQQQ gross return %,VOO hold return %,Strategy net return %,Excess vs VOO %,Relative wealth %,Incremental dollars,Duration sessions,TQQQ max favorable %,TQQQ max adverse %,Exit reason,Execution,Cost bps per leg,Slippage bps per leg
Closed,2011-06-23,2011-06-24,2012-04-16,2012-04-17,0.3676,0.5442,48.02041726893693,9.271351536108096,47.87239685166802,38.60104531555992,35.325860596502665,38601.045315559924,205,68.28694591118088,-30.985784364236267,TQQQ close trailing stop after ATH,next_open,5.0,0.0
Closed,2012-11-19,2012-11-20,2013-04-18,2013-04-19,0.476,0.5584,17.308187725907985,12.5270947810455,17.190879538182145,4.663784757136646,4.144588257798176,4663.7847571366465,103,33.20161953450835,-2.7459995364748746,TQQQ close trailing stop after ATH,next_open,5.0,0.0
Closed,2014-10-21,2014-10-22,2014-12-15,2014-12-16,1.6124,1.7953,11.337618342735878,2.136974532158975,11.226280724393266,9.089306192234293,8.899133965802397,9089.306192234291,39,30.10686121292947,-2.665555011301768,TQQQ close trailing stop after ATH,next_open,5.0,0.0
Closed,2015-10-23,2015-10-26,2016-04-18,2016-04-19,2.3324,2.1575,-7.500199550982389,2.332565529655395,-7.592699351431609,-9.925264881087003,-9.699028681354338,-9925.264881087003,121,7.653126057015958,-42.801301350533805,TQQQ close trailing stop after ATH,next_open,5.0,0.0
Closed,2018-11-07,2018-11-08,2019-05-13,2019-05-14,6.7507,6.6229,-1.893120701414297,1.6963517075729184,-1.9912275807128177,-3.687579288285736,-3.6260684148132882,-3687.5792882857363,127,19.890783120465905,-46.61032933460801,TQQQ close trailing stop after ATH,next_open,5.0,0.0
Closed,2020-03-02,2020-03-03,2020-09-03,2020-09-04,10.5264,17.3172,64.51288989217556,12.865342609418517,64.34837700228373,51.483034392865214,45.61456440266811,51483.034392865215,131,98.78924120828303,-63.483081451196014,TQQQ close trailing stop after ATH,next_open,5.0,0.0
Closed,2022-01-31,2022-02-01,2023-12-13,2023-12-14,29.7411,23.8842,-19.692955752821984,7.823193006870444,-19.773262797069226,-27.59645580393967,-25.594174160823858,-27596.45580393967,471,4.726046234542469,-74.07311736555525,TQQQ close trailing stop after ATH,next_open,5.0,0.0
Closed,2025-05-12,2025-05-13,2025-10-10,2025-10-13,33.0275,50.7493,53.65759382012711,13.92008152081521,53.50393622630691,39.5838547054917,34.74703860553245,39583.85470549171,106,65.09988628696742,-2.7148666810870803,TQQQ close trailing stop after ATH,next_open,5.0,0.0
Closed,2026-04-08,2026-04-09,2026-06-05,2026-06-08,47.9097,76.6834,60.05831426890769,10.17666118656242,59.89825595463856,49.72159476807614,45.1289721730471,49721.59476807614,42,83.44438208892247,-1.4785486832661343,TQQQ close trailing stop after ATH,next_open,5.0,0.0
