Period,Return %,VOO return %,Excess vs VOO %,Annualized %,Sharpe,Max drawdown %,Recovery sessions,TQQQ time %,Turnover,Sessions
rolling_1260_2020-12-10,149.09002319083058,97.70668234162527,51.383340849205304,19.678506257959526,0.6230035111881366,-63.28862995478233,82,27.3015873015873,5.0,1260
rolling_1260_2021-03-15,235.54346101023623,116.10618421856867,119.43727679166756,27.233672467228143,0.7549706817563823,-63.288629954782316,82,22.301587301587304,5.0,1260
rolling_1260_2021-06-14,212.91297036559786,123.4231635655375,89.48980680006038,25.805585236813823,0.7268106310815233,-63.288629954782316,82,20.317460317460316,4.0,1260
rolling_1260_2021-09-13,222.92203903063984,130.56974423579723,92.35229479484262,26.050392700983128,0.740337630522362,-63.28862995478231,82,20.317460317460316,4.0,1260
rolling_1260_2021-12-10,221.87502759480867,129.82216701964853,92.05286057516014,26.17351018766758,0.7386941694036292,-63.288629954782316,82,20.317460317460316,4.0,1260
rolling_1260_2022-03-14,85.66854988977862,92.26100154220988,-6.592451652431275,13.25306892147946,0.5059073889590581,-63.28862995478231,82,22.61904761904762,5.0,1260
rolling_1260_2022-06-13,4.561724233427156,68.59396785466816,-64.03224362124101,0.7980831342753847,0.3024830361720526,-65.15643194751452,-1,27.61904761904762,5.0,1260
rolling_1260_2022-09-13,13.757609738597566,72.58152451948237,-58.8239147808848,2.535304311482567,0.34692840638735795,-66.99824661115146,-1,32.61904761904762,5.0,1260
rolling_1260_2022-12-12,-11.01391882014202,64.21012713010666,-75.22404595024868,-2.3689843924755816,0.2821191190926311,-74.10887392008273,-1,37.61904761904762,5.0,1260
rolling_1260_2023-03-15,-8.871089850657842,53.638078358589226,-62.509168209247065,-1.7362775141913867,0.2995006817169229,-75.47684267106584,-1,42.61904761904762,5.0,1260
rolling_1260_2023-06-14,57.42759755156328,71.03767697564732,-13.61007942408403,9.58374965535318,0.4721490647400451,-75.47684267106582,-1,47.61904761904761,5.0,1260
rolling_1260_2023-09-14,58.11105024695682,69.94606495598357,-11.835014709026748,9.583343203411122,0.4757974728798459,-75.47684267106584,-1,52.61904761904762,5.0,1260
rolling_1260_2023-12-13,138.17120349632646,94.31655731550525,43.8546461808212,18.35500763243647,0.5995621817437606,-75.47684267106587,-1,55.87301587301587,4.0,1260
rolling_1260_2024-03-15,118.75641335927742,97.88338730418187,20.873026055095558,16.368454587893268,0.5719012092901326,-75.47684267106585,-1,50.87301587301587,5.0,1260
rolling_1260_2024-06-14,120.28355156589737,103.72265933566797,16.560892230229385,17.138301769838616,0.5734639409276379,-75.4768426710658,-1,47.61904761904761,4.0,1260
rolling_1260_2024-09-16,119.2587107058333,102.77486589433322,16.48384481150007,16.969749455145667,0.5719960340104724,-75.47684267106582,-1,47.61904761904761,4.0,1260
rolling_1260_2024-12-13,125.20577991932717,108.27483512405465,16.93094479527253,17.40552230102994,0.5804428574721944,-75.47684267106582,-1,47.61904761904761,4.0,1260
rolling_1260_2025-03-19,233.45705690120502,126.46186465134606,106.99519224985896,38.38883990822859,0.7087954665361317,-75.47684267106582,-1,46.904761904761905,3.0,1260
